# 
# 03/31/2025 07:23:21
# The parameters defined in the project are:
# ,P17 - length_of_rect [mm],P18 - (115-length_of_rect)*0.5 [mm],P19 - width [mm],P20 - half_of_width [mm],P34 - THICKNESS [mm],P36 - radius [mm],P40 - same_as_thickness [mm],P41 - Remote Force Z Component [N],P49 - angular_vertical_LENG [mm],P42 - Directional Deformation Maximum [mm],P43 - Directional Deformation 2 Maximum [mm],P44 - Equivalent Elastic Strain Maximum [mm mm^-1],P45 - Equivalent Stress Maximum [MPa],P46 - Maximum Shear Stress Maximum [MPa],P47 - Total Deformation Maximum [mm],P48 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P17,P18,P19,P20,P34,P36,P40,P41,P49,P42,P43,P44,P45,P46,P47,P48
DP 22,50,37.5,50,25,4,95,4,100,150,0.0011115438537672162,4.8552703857421875,0.00050727725223017239,101.45535923542487,50.796452923456961,10.421817667303291,1.0823428504215888
DP 23,50,37.5,50,25,5,95,5,100,150,0.00086294818902388215,2.5340192317962646,0.00032337479933630675,64.674708295505866,32.377815938933459,5.4280009844000761,1.2775619848275734
DP 24,40,32.5,40,25,5,105,5,100,150,0.0011129926424473524,2.1966817378997803,0.00042707802640507,85.415287311215664,42.75269562959739,7.0103139803562469,1.0447715856984692
DP 25,40,37.5,40,20,4,110,4,100,150,0.0014671421376988292,3.396780252456665,0.00070151185354916379,140.3016308368845,70.226651959172145,13.801733520750698,0.87949319503964973
DP 26,45,35,45,22.5,4,110,4,100,150,0.0013349795481190085,3.0039980411529541,0.00063050864991964772,126.10117754616667,63.111862406111172,12.206790083379845,0.96890987700545761
DP 27,45,35,45,22.5,5,110,5,100,150,0.0010226978920400143,1.5728104114532471,0.00039909337283461355,79.818395539711318,39.9547723690105,6.3460971688892176,1.1431895111226018
DP 28,50,32.5,50,25,4,110,4,100,150,0.0012239812640473247,2.6890811920166016,0.00057184590259566907,114.368870950461,57.26423461182069,10.92730226587202,1.0583265589712667
DP 29,50,32.5,50,25,5,110,5,100,150,0.00093885225942358375,1.4091041088104248,0.00036298835475463421,72.597339733146526,36.342148703576747,5.6860092192057987,1.247301010715989
DP 30,40,37.5,40,20,4,108,4,100,150,0.0014453461626544595,3.7059404850006104,0.00069218423595884815,138.43659430671855,69.317780714880143,13.668870781154572,0.88040489403399613
DP 31,40,37.5,40,20,4,105,4,100,150,0.0014141611754894257,4.1924190521240234,0.0006767804346357783,135.35599258409047,67.76234445283832,13.491680239929961,0.882446860528785
DP 32,40,37.5,40,20,5,105,5,100,150,0.0010855789296329021,2.188908576965332,0.00042690480768214911,85.380654283144068,42.733372769456771,7.0092098113204431,1.042825604466536
DP 33,40,37.5,40,20,4,105,4,100,145,0.0014131374191492796,3.6236040592193604,0.00067660853528650478,135.32093722101172,67.718243342016493,13.308747248648997,0.87795917002187152
DP 34,40,37.5,40,20,5,110,5,100,145,0.0011242266045883298,1.5073419809341431,0.00044264902826398613,88.529418602410573,44.299857830446861,7.0972746009211409,1.0348599158228682
